code,name,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42091,Montgomery,482.9705844,1712.6922977,41.3,0,0,0,0,0,0,0,0,776306,790497,794921,799886,804621,809372,812970,815876,818677,821301,823823,827180
42093,Montour,130.2408724,139.572161,43.4,0,0,0,0,0,0,0,0,17776,18152,18193,18243,18379,18475,18508,18404,18302,18294,18259,18178
42095,Northampton,369.7873938,822.724098,42.2,0,0,0,0,0,0,0,0,293610,294536,296323,297519,298439,299225,299616,300520,300941,301778,302809,304233
42097,Northumberland,457.6636605,199.3472672,44.5,0,0,0,0,0,0,0,0,91286,94099,94321,94441,94444,94294,94006,93590,93038,92325,91761,91234
42099,Perry,551.4490627,83.6577721,43.4,0,0,0,0,0,0,0,0,45048,45599,45785,45791,45808,45788,45677,45647,45878,45924,46053,46133
42101,Philadelphia,134.3563624,11771.1656671,34.6,0,0,0,0,0,0,0,0,1531112,1504950,1514456,1525811,1536704,1546920,1555072,1559938,1569657,1575522,1579075,1581531
42103,Pike,544.8950135,102.1481178,48.6,0,0,0,0,0,0,0,0,58335,56993,57242,57437,57179,56883,56632,56210,55687,55498,55453,55660
42105,Potter,1081.2484867,15.4312355,47.4,0,0,0,0,0,0,0,0,17142,17583,17487,17466,17487,17451,17377,17239,17070,16937,16806,16685
42107,Schuylkill,778.5782605,182.3002352,44.3,0,0,0,0,0,0,0,0,146870,148288,148195,147935,147700,147146,146360,145503,144287,143555,142674,141935
42109,Snyder,328.7839718,123.0351948,40.4,0,0,0,0,0,0,0,0,38261,39400,39597,39620,39711,39922,40046,40246,40570,40466,40483,40452
42111,Somerset,1075.0457581,68.6891692,46.2,0,0,0,0,0,0,0,0,77710,78219,77946,77638,77341,77011,76617,76201,75619,74949,74361,73844
42113,Sullivan,449.9391168,13.4195934,54.5,0,0,0,0,0,0,0,0,6219,6467,6469,6453,6419,6400,6381,6302,6192,6177,6135,6038
42115,Susquehanna,823.4951845,49.3069064,48.7,0,0,0,0,0,0,0,0,41116,43343,43311,43171,42948,42708,42369,41832,41716,41340,40970,40604
42117,Tioga,1133.8907942,35.9461424,44.9,0,0,0,0,0,0,0,0,40828,41631,41850,42081,42267,42358,42284,42031,41550,41226,40944,40759
42119,Union,315.9522021,141.8917156,39.6,0,0,0,0,0,0,0,0,43424,44866,44872,44944,44932,44955,44958,45178,45056,45114,45111,44831
42121,Venango,674.2642898,76.1644963,47.4,0,0,0,0,0,0,0,0,54817,55320,55106,54865,54590,54265,53906,53460,52880,52376,51818,51355
42123,Warren,884.2814524,44.6305867,47.4,0,0,0,0,0,0,0,0,41025,41877,41771,41613,41429,41218,40962,40649,40345,40035,39756,39466
42125,Washington,857.0089661,241.6322445,44.5,0,0,0,0,0,0,0,0,206037,206987,207451,207916,208047,208157,208226,208269,207661,207547,207212,207081
42127,Wayne,725.7688369,70.639572,48.5,0,0,0,0,0,0,0,0,51233,52302,52477,52299,52212,51967,51642,51307,51656,51536,51422,51268
42129,Westmoreland,1027.7115912,341.2650037,47.2,0,0,0,0,0,0,0,0,363222,365841,365438,364877,364090,362587,361251,359377,356835,354751,352590,350722
42131,Wyoming,397.2501164,68.1636049,45.2,0,0,0,0,0,0,0,0,27882,28262,28333,28221,28177,28229,28147,27975,27760,27588,27327,27078
42133,York,904.3648709,494.9639403,41,0,0,0,0,0,0,0,0,419563,428175,431967,434579,436339,438052,439660,440604,442216,444014,445565,447628
